homolog,name,nonsynonymous,stop,synonymous
BG505,DNA-1,0.0001367462211591876,1.0133976079658096e-05,4.9440909144097354e-05
BG505,DNA-2,0.00013744110179672882,1.0993784720186823e-05,5.040697276191643e-05
BG505,DNA-3,0.00013439727957423547,9.54712990005321e-06,5.0117449130863876e-05
BG505,mutDNA-1,0.0018060955961300886,0.00018843343467779352,0.0002096533924123836
BG505,mutDNA-2,0.0018211399418570293,0.00016211287768579967,0.00020944483939498796
BG505,mutDNA-3,0.0017980767158595325,0.00017003151853426326,0.0002168636818619554
BG505,mutvirus-1,0.001204589665462248,3.384083339911874e-05,0.0002963489198144793
BG505,mutvirus-2,0.0012208650750821536,3.561248119517107e-05,0.0002960299550134056
BG505,mutvirus-3,0.0011409178007704627,3.0429262784674188e-05,0.00028021888688171243
BG505,virus-1,0.00040246805496163904,2.863080118014831e-05,0.00014910211033196616
BG505,virus-2,0.0003923625873751932,2.617401940192261e-05,0.00014581488411291902
BG505,virus-3,0.0003667542116497844,2.622996647268475e-05,0.00013895826709709055
BF520,DNA,9.410968261043004e-05,6.923251286442656e-06,4.266964064470076e-05
BF520,mutDNA-1,0.001469778400218401,0.00012329925912798754,0.00016642235395982442
BF520,mutDNA-2,0.0013476860108704678,0.0001073679822780032,0.00015715479986467277
BF520,mutDNA-3,0.0014219049040176462,0.00012450368756079756,0.0001617508797501684
BF520,mutvirus-1,0.000985796693971512,4.765718482216507e-05,0.00024860997693025246
BF520,mutvirus-2,0.0009864011394467196,4.331219752987417e-05,0.00023968787532340202
BF520,mutvirus-3,0.0009455748386715992,4.619715887042405e-05,0.0002413126522596481
BF520,virus-1,0.00039014039928882285,3.048237614227061e-05,0.00014138009000503295
BF520,virus-2,0.00038510074539917834,2.908909744037687e-05,0.00013623915678599258
BF520,virus-3,0.000361998588586229,2.720568997666773e-05,0.00013003711127035898
